w_axis,data
0.0,36.802875722035516
0.01,36.80338447845303
0.02,36.80390149571884
0.03,36.80442697785728
0.04,36.80496113570632
0.05,36.80550418720576
0.06,36.80605635770067
0.07,36.806617880260475
0.08,36.80718899601478
0.09,36.80776995450693
0.1,36.80836101406654
0.11,36.808962442202144
0.12,36.809574516015005
0.13,36.81019752263593
0.14,36.81083175968619
0.15,36.81147753576426
0.16,36.812135170960076
0.17,36.81280499739879
0.18,36.8134873598157
0.19,36.814182616164985
0.2,36.81489113826385
0.21,36.81561331247559
0.22,36.81634954043311
0.23,36.817100239806834
0.24,36.81786584511951
0.25,36.818646808611845
0.26,36.81944360116219
0.27,36.82025671326476
0.28,36.82108665607057
0.29,36.82193396249586
0.3,36.82279918840342
0.31,36.823682913862186
0.32,36.82458574449159
0.33,36.825508312897206
0.34,36.82645128020534
0.35,36.827415337704224
0.36,36.828401208601385
0.37,36.829409649906
0.38,36.83044145444777
0.39,36.83149745304349
0.4,36.832578516824476
0.41,36.833685559738946
0.42,36.834819541245224
0.43,36.83598146921306
0.44,36.83717240305201
0.45,36.83839345708858
0.46,36.83964580421537
0.47,36.840930679838735
0.48,36.84224938615353
0.49,36.84360329677851
0.5,36.84499386178745
0.51,36.84642261317737
0.52,36.84789117081904
0.53,36.849401248940794
0.54,36.85095466320286
0.55,36.852553338426695
0.56,36.854199317052434
0.57,36.855894768406415
0.58,36.857641998872126
0.59,36.8594434630705
0.6,36.8613017761701
0.61,36.86321972746428
0.62,36.86520029537267
0.63,36.86724666404692
0.64,36.869362241787265
0.65,36.87155068150862
0.66,36.87381590353111
0.67,36.87616212101372
0.68,36.87859386840573
0.69,36.88111603333325
0.7,36.88373389244888
0.71,36.886453151821485
0.72,36.88927999256699
0.73,36.89222112254786
0.74,36.89528383511943
0.75,36.89847607609
0.76,36.90180652029084
0.77,36.90528465943319
0.78,36.908920903277554
0.79,36.91272669657198
0.8,36.91671465475345
0.81,36.920898722083024
0.82,36.92529435673615
0.83,36.92991874845126
0.84,36.93479107571959
0.85,36.93993281127092
0.86,36.94536808689753
0.87,36.95112413214888
0.88,36.95723180428887
0.89,36.96372659382862
0.9,36.97064809457734
0.91,36.97804272656476
0.92,36.98596413561034
0.93,36.994474394408044
0.94,37.00364652136357
0.95,37.0135663546138
0.96,37.02433582486731
0.97,37.0360766410111
0.98,37.04893548553947
0.99,37.063086992209136
1.0,37.078741512003155
1.01,37.09614564851453
1.02,37.11556726377133
1.03,37.1372307975183
1.04,37.161064921513244
1.05,37.185730084896015
1.06,37.20466391363834
1.07,37.193363897078314
1.08,37.114439827504036
1.09,36.98257302981757
1.1,36.831450619852774
1.11,36.67545345765031
1.12,37.148427975172396
1.13,37.102170414838156
1.14,37.0573155695968
1.15,37.01347241083663
1.16,36.97049927969939
1.17,36.92832332206195
1.18,36.88689925546951
1.19,36.846195591036654
1.2,36.80618697856052
1.21,36.76685294783931
1.22,36.72817811004475
1.23,36.69014643627097
1.24,36.65274322649053
1.25,36.61595574689701
1.26,36.579772314040255
1.27,36.54418109931464
1.28,36.50917104821994
1.29,36.474731524429224
1.3,36.44085284384159
1.31,36.407524089563466
1.32,36.374735998942846
1.33,36.34247915318311
1.34,36.310744371848294
1.35,36.2795227064827
1.36,36.24880416285071
1.37,36.21858227267467
1.38,36.18884768967911
1.39,36.15959218997987
1.4,36.13080771845829
1.41,36.10248733842197
1.42,36.074621655257964
1.43,36.04720393440787
